title,images,url,price,description,tracks
Various Artists - Disney 100 (2 LP) (Limited Edition),"['https://media.s-bol.com/m6VQxn0DQk90/v1rx6m/550x550.jpg', 'https://media.s-bol.com/7zMGrlLEkLwG/NJj878/550x378.jpg', 'https://media.s-bol.com/m6VQxn0DQk90/v1rx6m/124x124.jpg', 'https://media.s-bol.com/7zMGrlLEkLwG/NJj878/124x85.jpg']",https://www.bol.com//nl/nl/p/various-artists-disney-100/9300000145390763/,"52,99","Het ultieme overzicht met de bekendste nummers uit de Disney catalogus ter gelegenheid van het 100 jarig bestaan van Disney. Van Steamboat Willie (1928) via Sneeuwwitje en de Zeven Dwergen, Jungle Book, Mulan, The Lion King naar High School Musical, Frozen, Coco, Encanto tot aan Turning Red (2022). De dubbel LP is geperst op 180 grams zilverkleurig vinyl.","['1. Steamboat Bill (From ""Steamboat Willie""/Edit) - Walt Disney', '2. Who\'s Afraid Of The Big Bad Wolf (From ""Three Little Pigs""/Edit) - Pinto Colvig & Mary Moder & Dorothy Compton & Billy Bletcher', '3. Whistle While You Work (From ""Snow White And The Seven Dwarfs""/Soundtrack Version) - Adriana Caselotti', '4. When You Wish Upon A Star (From ""Pinocchio""/Soundtrack Version) - Cliff Edwards & Disney Studio Chorus', '5. Little April Shower (From ""Bambi""/Soundtrack Version) - Amy Lou Barnes & Sally Mueller & Mary Moder & Alice Sixer & Betty Bayne & Disney Studio Chorus', '6. Saludos Amigos (From ""Saludos Amigos"") - Various Artists', '7. Bibbidi-Bobbidi-Boo (The Magic Song) (From ""Cinderella""/Edit) - Verna Felton & Disney', '8. Mickey Mouse March (From ""The Mickey Mouse Club"") - The Mouseketeers & Jimmie Dodd & Jimmie Dodd', '9. Once Upon A Dream (From ""Sleeping Beauty"" / Soundtrack Version) - Mary Costa & Bill Shirley & Chorus - Sleeping Beauty', '10. The Tiki, Tiki, Tiki Room - The Mellomen & Thurl Ravenscroft & Wally Boag & Fulton Burley', ""11. It's A Small World - Disney Studio Chorus"", '12. Chim Chim Cher-Ee (From ""Mary Poppins""/Soundtrack Version) - Dick Van Dyke & Julie Andrews & Julie Andrews & Karen Dotrice & Matthew Garber', '13. Winnie The Pooh (From ""Winnie The Pooh And The Honey Tree"") - Disney Studio Chorus', '14. The Bare Necessities (From ""The Jungle Book""/Soundtrack Version) - Phil Harris & Bruce Reitherman', '15. The Bare Necessities (From ""The Jungle Book""/Soundtrack Version) - Phil Harris & Bruce Reitherman', '16. Oo-De-Lally (From ""Robin Hood"") - Roger Miller & Roger Miller', '17. It\'s Not Easy (From ""Pete\'s Dragon""/Soundtrack Version) - Helen Reddy & Helen Reddy & Sean Marshall & Sean Marshall', '18. Under The Sea (From ""The Little Mermaid"" / Soundtrack Version) - Samuel E. Wright & Disney', '19. Beauty And The Beast (From ""Beauty And The Beast"" / Soundtrack Version) - Angela Lansbury & Angela Lansbury & Disney', '20. Circle Of Life (From ""The Lion King"" Soundtrack) - Carmen Twillie & Carmen Twillie & Lebo M.', '21. Colors Of The Wind (From ""Pocahontas"" / Soundtrack Version) - Judy Kuhn & Judy Kuhn', '22. Reflection (From ""Mulan"" / Soundtrack Version) - Lea Salonga & Lea Salonga & Disney', '23. Hawaiian Roller Coaster Ride (From ""Lilo & Stitch""/Soundtrack Version) - Mark Keali\'i Ho\'omalu & Kamehameha Schools Children\'s Chorus', '24. We\'re All In This Together (From ""High School Musical""/Soundtrack Version) - High School Musical Cast & Disney', '25. Dig A Little Deeper (From ""The Princess And The Frog""/Soundtrack Version) - Jenifer Lewis & Jenifer Lewis', '26. Let It Go (From ""Frozen""/Soundtrack Version) - Idina Menzel & Idina Menzel', '27. How Far I\'ll Go (From ""Moana""/Soundtrack Version) - Auli\'i Cravalho', '28. Remember Me (Ernesto De La Cruz) (From ""Coco""/Soundtrack Version) - Benjamin Bratt', '29. We Don\'t Talk About Bruno (From ""Encanto""/Soundtrack Version) - Carolina Gaitán - La Gaita & Adassa & Stephanie Beatriz', '30. Nobody Like U (From ""Turning Red""/Soundtrack Version) - Jordan Fisher & Finneas O\'connell & Topher Ngo & Grayson Villanueva & Josh Levi']"
Toto - Their Ultimate Collection (colored vinyl) (LP),"['https://media.s-bol.com/R899q7r7GXmw/xGJl4WJ/550x384.jpg', 'https://media.s-bol.com/B9WwxDXrxQON/kPBmK/550x550.jpg', 'https://media.s-bol.com/R899q7r7GXmw/xGJl4WJ/124x86.jpg', 'https://media.s-bol.com/B9WwxDXrxQON/kPBmK/124x124.jpg', 'https://media.s-bol.com/ZZjjBygX7vE2/xGJl4WJ/124x122.jpg']",https://www.bol.com//nl/nl/p/toto-their-ultimate-collection/9300000050269120/,"22,99","De beste studio-muzikanten uit Los Angeles besluiten in 1976 ook zelf in een band te willen gaan spelen. David Paich en Jef Porcaro nodigen daarom Steve Lukather, Jeff""s broer Steve en zanger Bobby Kimball uit en de super-band Toto is geboren. Met ""Hold The Line"" scoren ze meteen al een hit maar ze gaan pas echt los met hun vierde album waar de wereldhit ""Africa"" op staat. Vooral in de lage landen is de band enorm populair en treden ze erg vaak op voor uitverkochte zalen. Op deze 180 grams coloured LP staan natuurlijk beide hits maar ook ""Rosanna"", ""Stop Loving You"", ""Mushanga"", ""Pamela"" en ""Out Of Love"".","['1. Africa - Toto', '2. Hold The Line - Toto', '3. Rosanna - Toto', '4. Make Believe - Toto', '5. 99 - Toto', ""6. I'll Be Over You - Toto"", '7. Burn - Toto', '8. Stop Loving You - Toto', '9. Mushanga - Toto', '10. Pamela - Toto', '11. Out Of Love - Toto', ""12. Don't Chain My Heart - Toto"", '13. I Will Remember - Toto']"
ABBA - Studio Albums (10 LP) (Limited Edition),"['https://media.s-bol.com/n7k64AJOAL6D/k89ZRzv/550x550.jpg', 'https://media.s-bol.com/7YmqRKzVYWpA/57yJxXB/550x277.jpg', 'https://media.s-bol.com/n7k64AJOAL6D/k89ZRzv/124x124.jpg', 'https://media.s-bol.com/7YmqRKzVYWpA/57yJxXB/124x62.jpg', 'https://media.s-bol.com/kBLX4xM7xzl5/k89ZRzv/124x124.jpg']",https://www.bol.com//nl/nl/p/abba-studio-albums/9300000091904059/,"82,99","Deze geüpdatet versie van de album box set van Abba bevat naast de 8 klassieke albums tevens het in 2021 uitgebrachte album Voyage plus een bonus LP met 10 non-album tracks waaronder de singles Gimme! Gimme! Gimme!, Fernando, Summer Night City en The Day Before You Came. Alle LP's zijn geperst op 180 grams vinyl.","['1. Ring, Ring (Swedish Version) - Abba', '2. Another Town, Another Train - Abba', '3. Disillusion - Abba', '4. People Need Love - Abba', '5. I Saw It In The Mirror - Abba', '6. Nina, Pretty Ballerina - Abba', ""7. Love Isn't Easy (But It Sure Is Hard Enough) - Abba"", ""8. Me And Bobby And Bobby's Brother - Abba"", '9. He Is Your Brother - Abba', '10. Ring Ring (English Version) - Abba', '11. I Am Just A Girl - Abba', ""12. Rock'n'roll Band - Abba"", '13. Waterloo (Swedish Version) - Abba', '14. Sitting In The Palmtree - Abba', '15. King Kong Song - Abba', '16. Hasta Manana - Abba', '17. My Mama Said - Abba', '18. Dance (While The Music Still Goes On) - Abba', '19. Honey, Honey - Abba', '20. Watch Out - Abba', '21. What About Livingstone - Abba', '22. Gonna Sing You My Love Song - Abba', '23. Suzy-Hang-Around - Abba', '24. Waterloo - Abba', '25. Mamma Mia - Abba', '26. Hey, Hey Helen - Abba', '27. Tropical Loveland - Abba', '28. Sos (Album Version) - Abba', '29. Man In The Middle - Abba', '30. Bang-A-Boomerang - Abba', '31. I Do, I Do, I Do, I Do, I Do - Abba', '32. Rock Me - Abba', '33. Intermezzo No. 1 - Abba', ""34. I've Been Waiting For You - Abba"", '35. So Long - Abba', '36. When I Kissed The Teacher - Abba', '37. Dancing Queen - Abba', '38. My Love, My Life - Abba', '39. Dum Dum Diddle - Abba', '40. Knowing Me, Knowing You - Abba', '41. Money, Money, Money - Abba', ""42. That's Me - Abba"", '43. Why Did It Have To Be Me? - Abba', '44. Tiger - Abba', '45. Arrival - Abba', '46. Eagle (Long Version) - Abba', '47. Take A Chance On Me - Abba', '48. One Man, One Woman - Abba', '49. The Name Of The Game - Abba', '50. Move On - Abba', '51. Hole In Your Soul - Abba', '52. Thank You For The Music - Abba', '53. I Wonder (Departure) - Abba', ""54. I'm A Marionette - Abba"", '55. As Good As New - Abba', '56. Voulez-Vous - Abba', '57. I Have A Dream - Abba', '58. Angeleyes - Abba', '59. The King Has Lost His Crown - Abba', '60. Does Your Mother Know - Abba', ""61. If It Wasn't For The Nights - Abba"", '62. Chiquitita - Abba', '63. Lovers (Live A Little Longer) - Abba', '64. Kisses Of Fire - Abba', '65. Super Trouper - Abba', '66. The Winner Takes It All - Abba', '67. On And On And On - Abba', '68. Andante, Andante - Abba', '69. Me And I - Abba', '70. Happy New Year - Abba', '71. Our Last Summer - Abba', '72. The Piper - Abba', '73. Lay All Your Love On Me - Abba', '74. The Way Old Friends Do (Live At Wembley Arena, London, England / 1979) - Abba', '75. The Visitors - Abba', '76. Head Over Heels - Abba', '77. When All Is Said And Done - Abba', '78. Soldiers - Abba', '79. I Let The Music Speak - Abba', '80. One Of Us - Abba', '81. Two For The Price Of One - Abba', '82. Slipping Through My Fingers - Abba', '83. Like An Angel Passing Through My Room - Abba', '84. I Still Have Faith In You - Abba', '85. When You Danced With Me - Abba', '86. Little Things - Abba', ""87. Don't Shut Me Down - Abba"", '88. Just A Notion - Abba', '89. I Can Be That Woman - Abba', '90. Keep An Eye On Dan - Abba', '91. Bumblebee - Abba', '92. No Doubt About It - Abba', '93. Ode To Freedom - Abba', '94. Gimme! Gimme! Gimme! (A Man After Midnight) - Abba', '95. Fernando - Abba', '96. Summer Night City - Abba', '97. Under Attack - Abba', '98. The Day Before You Came - Abba', '99. Lovelight (Original Version) - Abba', '100. Happy Hawaii - Abba', '101. Elaine - Abba', '102. Should I Laugh Or Cry - Abba', '103. Put On Your White Sombrero - Abba']"
The Dark Side of the Moon (LP).Remastered en opnieuw uitgebracht.,"['https://media.s-bol.com/JLN00AKDg9o/550x411.jpg', 'https://media.s-bol.com/PMWojD38nkB4/982NNLz/550x172.jpg', 'https://media.s-bol.com/JLN00AKDg9o/124x92.jpg', 'https://media.s-bol.com/PMWojD38nkB4/982NNLz/124x38.jpg', 'https://media.s-bol.com/N9ylWX0Nj85m/124x71.jpg', 'https://media.s-bol.com/J6qQx8zO1ozy/124x74.jpg', 'https://media.s-bol.com/z6jq5BnzzJP7/124x75.jpg', 'https://media.s-bol.com/y94WgNR6kjXg/124x113.jpg', 'https://media.s-bol.com/JKlkmGmGZlMg/lMwlgj/124x121.jpg']",https://www.bol.com//nl/nl/p/the-dark-side-of-the-moon/1000004011482736/,"22,99","The Dark Side Of The Moon is het 8e studio album van Pink Floyd. Hier de LP te koop op zwart vinyl.""The Dark Side Of The Moon"", het achtste en misschien wel meest memorabele en kenmerkende studio album van Pink Floyd is opnieuw uitgebracht en volledig remastered (2011). ""The Dark Side Of The Moon"" is een concept album van een bijzonder hoog kaliber en de cijfers die daarmee gepaard gaan bevestigen dit keer op keer: meer dan 50 miljoen stuks verkocht wereldwijd, en maar liefs 16 jaar achter elkaar in de Billboard top 200 (een wereldrecord!).Het album is enkel meer dan alleen maar indrukwekkende cijfers, het kan gezegd worden dat de The Dark Side Of The Moon de manier veranderde waarop mensen naar albums luisterden.Het 10-tracks tellende album land met een ontzettend sterke kracht. Van de instrumentale openingstrack Speak to Me, tot de perfecte afsluiting Eclipse maakte The Dark Side Of The Moon een album dat spreekt voor een generatie. Een album zonder singles, ook al kwam Money bijna in de top 10. De invloed van dit album is zelfs nu nog te horen in hedendaagse muziek. Dit legendarische album van Pink Floyd gaat over thema's als conflicten, hebberigheid, het verloop van tijd, en geestesziekte, het laaste voornamelijk geinspireerd door de afnemende mentale staat van Syd Barrett (een van de oprichters van Pink Floyd). Los van een legendarisch album, brengt The Dark Side of The Moon ook een legendarische hoes met zich mee.","['1. Pink Floyd - Speak To Me (2011 - Remaster) (A1)', '2. Pink Floyd - Breathe (In The Air) (2011 - Remaster) (A2)', '3. Pink Floyd - On The Run (2011 - Remaster) (A3)', '4. Pink Floyd - Time (2011 - Remaster) (A4)', '5. Pink Floyd - The Great Gig In The Sky (2011 - Remaster) (A5)', '6. Pink Floyd - Money (2011 - Remaster) (B1)', '7. Pink Floyd - Us And Them (2011 - Remaster) (B2)', '8. Pink Floyd - Any Colour You Like (2011 - Remaster) (B3)', '9. Pink Floyd - Brain Damage (2011 - Remaster) (B4)', '10. Pink Floyd - Eclipse (2011 - Remaster) (B5)']"
V/A - TOP 40 - 80s (coloured) (LP),"['https://media.s-bol.com/gyBOlY3OxEWZ/g97xLY/550x483.jpg', 'https://media.s-bol.com/gyEym94YMOor/rn01gp/550x550.jpg', 'https://media.s-bol.com/gyBOlY3OxEWZ/g97xLY/124x108.jpg', 'https://media.s-bol.com/gyEym94YMOor/rn01gp/124x124.jpg', 'https://media.s-bol.com/RX43Oxzq5M70/RVj0Mz/124x124.jpg']",https://www.bol.com//nl/nl/p/v-a-top-40-80s/9300000140496168/,"20,99","Meer dan 58 jaar Top 40 heeft veel fantastische hits opgeleverd die voor sommige muziekfans een feest der herkenning zijn en voor anderen misschien een eerste kennismaking met hits uit lang vervlogen tijden. Op Top40.nl schenkt de Stichting Nederlandse Top 40 aandacht aan de rijke historie van de Top 40. Op de gekleurde LP Top 40 – 80s Hits staat een selectie van de grootste, enige echte originele Top 40 hits uit de Eighties van o.a. Whitney Houston, Hall & Oates en Billy Ocean.","['1. Wham! - Wake Me Up Before You Go-Go - V/A', '2. Whitney Houston - I Wanna Dance With Somebody (who Loves Me) - V/A', '3. Billy Ocean - When The Going Gets Tough, The Tough Get Goin - V/A', ""4. Bill Medley & Jennifer Warnes - (i've Had) The Time Of My L - V/A"", '5. Bangles - Walk Like A Egyptian - V/A', '6. Paul Simon - You Can Call Me Al - V/A', ""7. Champaign - How 'bout Us - V/A"", '8. Toto - Africa (single Version) - V/A', '9. Philip Bailey Duet With Phil Collins - Easy Lover - V/A', '10. Cock Robin - The Promise You Made - V/A', '11. Electric Light Orchestra - Hold On Tight - V/A', '12. Paul Young - Love Of The Common People - V/A', '13. Jermaine Jackson & Pia Zadora - When The Rain Begins To Fal - V/A', '14. Daryl Hall & John Oates - Adult Education - V/A']"
Ed Sheeran - Subtract (-) (LP) (Coloured Vinyl),"['https://media.s-bol.com/gy17YR6Qvv9D/l9yy26/550x550.jpg', 'https://media.s-bol.com/jBGrYzWRLY9B/m9MNv3/550x550.jpg', 'https://media.s-bol.com/gy17YR6Qvv9D/l9yy26/124x124.jpg', 'https://media.s-bol.com/jBGrYzWRLY9B/m9MNv3/124x124.jpg', 'https://media.s-bol.com/JAqJxjVxgAr9/LkLnAg/124x73.jpg']",https://www.bol.com//nl/nl/p/ed-sheeran-subtract/9300000143671740/,"29,99",Ed Sheeran’s nieuwe album ‘-‘ (Subtract) is het laatste album in het decennia lange ‘mathematical album era’. Het is een album dat teruggrijpt naar de singer-songwriter roots van Ed Sheeran én eentje die geschreven is op de rug van persoonlijk verdriet en hoop. ‘-‘ (Subtract) is het werk van één van de grootste artiesten ter wereld als zijn meest kwetsbare en eerlijke zelf.,"['1. Ed Sheeran - Boat', '2. Ed Sheeran - Salt Water', '3. Ed Sheeran - Eyes Closed', '4. Ed Sheeran - Life Goes On', '5. Ed Sheeran - Dusty', '6. Ed Sheeran - End of Youth', '7. Ed Sheeran - Colourblind', '8. Ed Sheeran - Curtains', '9. Ed Sheeran - Borderline', '10. Ed Sheeran - Spark', '11. Ed Sheeran - Vega', '12. Ed Sheeran - Sycamore', '13. Ed Sheeran - No Strings', '14. Ed Sheeran - The Hills of Aberfeldy']"
Queens Of The Stone Age - In Times New Roman (2LP) (Colourd Vinyl),"['https://media.s-bol.com/gKrM2lOGWj3Y/np756E/550x550.jpg', 'https://media.s-bol.com/q5GpPGzgxk9y/kmBZ25/550x550.jpg', 'https://media.s-bol.com/gKrM2lOGWj3Y/np756E/124x124.jpg', 'https://media.s-bol.com/q5GpPGzgxk9y/kmBZ25/124x124.jpg', 'https://media.s-bol.com/3vkzkyq9Wm9r/25OMlz/124x124.jpg']",https://www.bol.com//nl/nl/p/queens-of-the-stone-age-in-times-new-roman/9300000150164700/,"37,-","In Times New Roman... is een album van Queens Of The Stone Age, uitgebracht in 2023. In Times New Roman... bevat o.a. de nummers: “Obscenery”, “Negative Space”, “Emotion Sickness”, “Straight Jacket Fitting” en vele anderen.  Het rock album is verkrijgbaar in de volgende versies:  - CD - 2-LP - 2-LP, Coloured Vinyl","['1. Obscenery - Queens Of The Stone Age', '2. Paper Machete - Queens Of The Stone Age', '3. Negative Space - Queens Of The Stone Age', '4. Time & Place - Queens Of The Stone Age', '5. Made To Parade - Queens Of The Stone Age', '6. Carnavoyeur - Queens Of The Stone Age', '7. What The Peephole Say - Queens Of The Stone Age', '8. Sicily - Queens Of The Stone Age', '9. Emotion Sickness - Queens Of The Stone Age', '10. Straight Jacket Fitting - Queens Of The Stone Age']"
Various Artists - Guardians Of The Galaxy Vol. 3 (2 LP),"['https://media.s-bol.com/q536nw0W6gAG/XJWYJW/550x406.jpg', 'https://media.s-bol.com/3vDlO4BXmJnR/x3mNDP/550x550.jpg', 'https://media.s-bol.com/q536nw0W6gAG/XJWYJW/124x91.jpg', 'https://media.s-bol.com/3vDlO4BXmJnR/x3mNDP/124x124.jpg']",https://www.bol.com//nl/nl/p/various-artists-guardians-of-the-galaxy-vol-3/9300000147749454/,"44,99",Guardians Of The Galaxy Vol. 3 is een album van Various Artists uit 2023 en is uitgebracht onder het label Disney Records,"['1. Creep (Acoustic) - Radiohead', '2. Crazy On You - Heart', '3. Since You Been Gone - Rainbow', '4. In The Meantime - Various Artists', '5. Reasons - Wind Earth & Fire', '6. Do You Realize? - The Flaming Lips', '7. We Care A Lot - Faith No More', '8. Koinu No Carnival (From ""Minute Waltz"") - Ehamic', ""9. I'm Always Chasing Rainbows - Alice Cooper"", ""10. San Francisco (Album Version) - The Mowgli's"", '11. Poor Girl - X', '12. This Is The Day - The The', '13. No Sleep Till Brooklyn - Beastie Boys', '14. Dog Days Are Over - Florence + The Machine', '15. Badlands - Bruce Springsteen', '16. I Will Dare - The Replacements', '17. Come And Get Your Love - Redbone']"
Finally Enough Love,['https://media.s-bol.com/RnpVrEvN0Y9R/A5DyOz/550x550.jpg'],https://www.bol.com//nl/nl/p/finally-enough-love/9300000149184453/,"156,-","Finally Enough Love: 50 Number Ones (rainbow Edition) is een album van Madonna, uitgebracht in 2023. Finally Enough Love: 50 Number Ones (rainbow Edition) bevat o.a. de nummers: “Holiday (7"" Version)”, “Material Girl (7"" Version)”, “Express Yourself (remix/Edit)”, “Keep It Together (alternate Single Remix)” en vele anderen. Het album betreft een Box Set, Limited Edition, Coloured Vinyl pop 6-LP.","['1. Holiday (7"" Version) - Madonna', '2. Like A Virgin (7"" Version) - Madonna', '3. Material Girl (7"" Version) - Madonna', '4. Into The Groove (you Can Dance Remix Edit) - Madonna', '5. Open Your Heart (video Version) - Madonna', '6. Physical Attraction (you Can Dance Remix Edit) - Madonna', '7. Everybody (you Can Dance Remix Edit) - Madonna', '8. Like A Prayer (remix/Edit) - Madonna', '9. Express Yourself (remix/Edit) - Madonna', '10. Keep It Together (alternate Single Remix) - Madonna', '11. Vogue (single Version) - Madonna', '12. Justify My Love (orbit Edit) - Madonna', '13. Erotica (underground Club Mix) - Madonna', ""14. Deeper And Deeper (david's Radio Edit) - Madonna"", '15. Fever (radio Edit) - Madonna', ""16. Secret (junior's Luscious Single Mix) - Madonna"", ""17. Bedtime Story (junior's Single Mix) - Madonna"", ""18. Don't Cry For Me Argentina (miami Mix Edit) - Madonna"", '19. Frozen (extended Club Mix Edit) - Madonna', '20. Ray Of Light (sasha Ultra Violet Mix Edit) - Madonna', '21. Nothing Really Matters (club 69 Radio Mix) - Madonna', '22. Beautiful Stranger (calderone Radio Mix) - Madonna', ""23. American Pie (richard 'humpty' Vission Radio Mix) - Madonna"", '24. Music (deep Dish Dot Com Radio Edit) - Madonna', ""25. Don't Tell Me (thunderpuss Video Remix) - Madonna"", '26. What It Feels Like For A Girl (above And Beyond Club Radio E - Madonna', ""27. Impressive Instant (peter Rauhofer's Universal Radio Mixshow - Madonna"", '28. Die Another Day (deepsky Radio Edit) - Madonna', ""29. American Life (felix Da Housecat's Devin Dazzle Edit) - Madonna"", '30. Hollywood (calderone & Quayle Edit) - Madonna', '31. Me Against The Music (peter Rauhofer Radio Mix) - Britney Sp - Madonna', ""32. Nothing Fails (tracy Young's Underground Radio Edit) - Madonna"", '33. Love Profusion (ralph Rosario House Vocal Edit) - Madonna', '34. Hung Up (sdp Extended Vocal Edit) - Madonna', '35. Sorry (psb Maxi Mix Edit) - Madonna', '36. Get Together (jacques Lu Cont Vocal Edit) - Madonna', '37. Jump (axwell Remix Edit) - Madonna', '38. 4 Minutes (bob Sinclar Space Funk Edit) - Feat. Justin Timbe - Madonna', '39. Give It 2 Me (eddie Amador Club 5 Edit) - Madonna', '40. Celebration (benny Benassi Remix Edit) - Madonna', ""41. Give Me All Your Luvin' (party Rock Remix) - Feat. Lmfao & N - Madonna"", ""42. Girl Gone Wild (avicii's Umf Mix) - Madonna"", '43. Turn Up The Radio (offer Nissim Remix Edit) - Madonna', '44. Living For Love (offer Nissim Promo Mix) - Madonna', '45. Ghosttown (dirty Pop Intro Remix) - Madonna', ""46. Bitch I'm Madonna (sander Kleinenberg Video Edit) - Feat. Ni - Madonna"", '47. Medellmn (offer Nissim Madame X In The Sphinx Mix) - Madonna - Madonna', ""48. I Rise (tracy Young's Pride Intro Radio Remix) - Madonna"", '49. Crave (tracy Young Dangerous Remix) - Feat. Swae Lee - Madonna', ""50. I Don't Search I Find (honey Dijon Radio Mix) - Madonna""]"
Prospekt's March,"['https://media.s-bol.com/BpKqA4VAjJNX/353Kyx/550x347.jpg', 'https://media.s-bol.com/gKB0O6AZjXxZ/YGZl7n/550x347.jpg', 'https://media.s-bol.com/BpKqA4VAjJNX/353Kyx/124x78.jpg', 'https://media.s-bol.com/gKB0O6AZjXxZ/YGZl7n/124x78.jpg', 'https://media.s-bol.com/q5P1080o0Ooy/kmgOo5/124x78.jpg', 'https://media.s-bol.com/Rn4NAolrON0z/A5r99B/124x78.jpg']",https://www.bol.com//nl/nl/p/prospekt-s-march/9300000149645111/,"25,99","Prospekt's March is een album van Coldplay, uitgebracht in 2023. Prospekt's March bevat o.a. de nummers: “Life In Technicolor Ii”, “Postcards From Far Away”, “Glass Of Water”, “Rainy Day” en vele anderen. Het album betreft een Limited Edition, Ep pop LP.","['1. Coldplay - Life in Technicolor II', '2. Coldplay - Postcards from Far Away', '3. Coldplay - Glass of Water', '4. Coldplay - Rainy Day', ""5. Coldplay - Prospekt's March/Poppyfields"", '6. Coldplay - Lost', '7. Coldplay - Lovers in Japan (Osaka Sun Mix)', ""8. Coldplay - Now My Feet Won't Touch the Ground""]"
